Wavelength(m)	n	k
# material: Graphene
# source: optprop_Gr_Falkovsky.m (Falkovsky/Kubo model)
# conditions: Ef = 0.2 eV, mobility = 10000 cm^2/Vs, T = 300 K
# note: sheet conductivity spread over 3.4e-10 m to give a bulk index; valid only at this gating
# type: model
# range: 5.0000e-07 - 5.0000e-05 m
# converted: 2026-08-04 by tools/convert_matlab_optprop.py
5.000000e-07	1.79799	1.49234
5.023102e-07	1.8014	1.49641
5.046311e-07	1.80481	1.50048
5.069627e-07	1.80823	1.50456
5.093051e-07	1.81167	1.50865
5.116583e-07	1.81511	1.51274
5.140224e-07	1.81857	1.51685
5.163974e-07	1.82203	1.52096
5.187833e-07	1.82551	1.52508
5.211803e-07	1.82899	1.52921
5.235884e-07	1.83249	1.53335
5.260076e-07	1.83599	1.53749
5.284380e-07	1.83951	1.54165
5.308796e-07	1.84304	1.54581
5.333325e-07	1.84657	1.54998
5.357967e-07	1.85012	1.55416
5.382723e-07	1.85368	1.55835
5.407594e-07	1.85724	1.56254
5.432579e-07	1.86082	1.56674
5.457680e-07	1.86441	1.57096
5.482896e-07	1.86801	1.57518
5.508230e-07	1.87162	1.57941
5.533680e-07	1.87524	1.58364
5.559248e-07	1.87887	1.58789
5.584934e-07	1.88251	1.59214
5.610739e-07	1.88616	1.59641
5.636663e-07	1.88982	1.60068
5.662707e-07	1.89349	1.60496
5.688871e-07	1.89717	1.60924
5.715156e-07	1.90087	1.61354
5.741562e-07	1.90457	1.61785
5.768091e-07	1.90829	1.62216
5.794742e-07	1.91201	1.62648
5.821516e-07	1.91575	1.63081
5.848414e-07	1.9195	1.63515
5.875436e-07	1.92326	1.6395
5.902583e-07	1.92702	1.64386
5.929855e-07	1.9308	1.64822
5.957253e-07	1.93459	1.6526
5.984779e-07	1.9384	1.65698
6.012431e-07	1.94221	1.66137
6.040211e-07	1.94603	1.66577
6.068119e-07	1.94987	1.67018
6.096156e-07	1.95371	1.6746
6.124323e-07	1.95757	1.67902
6.152620e-07	1.96144	1.68346
6.181048e-07	1.96532	1.6879
6.209607e-07	1.96921	1.69235
6.238298e-07	1.97311	1.69681
6.267121e-07	1.97702	1.70128
6.296078e-07	1.98094	1.70576
6.325169e-07	1.98488	1.71025
6.354394e-07	1.98882	1.71475
6.383754e-07	1.99278	1.71925
6.413249e-07	1.99675	1.72377
6.442881e-07	2.00073	1.72829
6.472650e-07	2.00472	1.73282
6.502556e-07	2.00872	1.73736
6.532601e-07	2.01274	1.74191
6.562784e-07	2.01677	1.74647
6.593107e-07	2.0208	1.75104
6.623570e-07	2.02485	1.75562
6.654174e-07	2.02891	1.7602
6.684919e-07	2.03298	1.7648
6.715806e-07	2.03707	1.7694
6.746836e-07	2.04116	1.77401
6.778009e-07	2.04527	1.77863
6.809326e-07	2.04939	1.78326
6.840788e-07	2.05352	1.7879
6.872395e-07	2.05766	1.79255
6.904149e-07	2.06182	1.79721
6.936049e-07	2.06599	1.80188
6.968096e-07	2.07016	1.80655
7.000292e-07	2.07436	1.81124
7.032636e-07	2.07856	1.81593
7.065130e-07	2.08277	1.82064
7.097774e-07	2.087	1.82535
7.130569e-07	2.09124	1.83007
7.163515e-07	2.09549	1.8348
7.196613e-07	2.09975	1.83954
7.229865e-07	2.10403	1.84429
