Wavelength(m)	n	k
# material: Ti
# source: lab MATLAB library, wavnk_Ti_BrendelBormann.mat (via optprop_Ti_BrendelBormann.m)
# type: tabulated nk
# range: 2.4797e-07 - 3.0996e-05 m
# converted: 2026-07-31 by tools/convert_matlab_optprop.py
1.690000e-05	12.944	27.557
1.731500e-05	13.313	28.034
1.774000e-05	13.691	28.513
1.817600e-05	14.078	28.993
1.862200e-05	14.473	29.475
1.907900e-05	14.878	29.959
1.954800e-05	15.291	30.444
2.002800e-05	15.713	30.93
2.052000e-05	16.143	31.418
2.102400e-05	16.582	31.907
2.154000e-05	17.029	32.396
2.206900e-05	17.484	32.887
2.261100e-05	17.948	33.379
2.316600e-05	18.419	33.872
2.373500e-05	18.898	34.365
2.431800e-05	19.385	34.859
2.491600e-05	19.88	35.355
2.552800e-05	20.382	35.85
2.615400e-05	20.892	36.347
2.679700e-05	21.408	36.845
2.745500e-05	21.932	37.343
2.812900e-05	22.463	37.842
2.882000e-05	23	38.343
2.952800e-05	23.545	38.844
3.025300e-05	24.096	39.346
3.099600e-05	24.653	39.849
